Feedback;Comment;Tag 1 (Category);Tag 2 (App);Tag 3 (Device)
None  ;Ok ;Mobile Phones;SHQ;Konga App
;I will appreciate if the exactly what ordered is supplied all times. In my own case, I requested for two wrist watches (self and wife) but when supplied, my own colour (white) was given but my wife was give a kind of golden face thereby making my wife uncomfortable as she wanted us use thesame type (structure and colour) of wrist watches for a special programme.  ;Watches;SHQ;Desktop Web
;;Watches;SHQ;Konga App
;;Men's Wear;KWK & SHQ;Mobile Web
Making a choice;;Laptops;KWK;Desktop Web
During delivery last Saturday when your POS malfunctioned and double deduction was made from my account for one of the items purchased. Though, I have logged my complain and awaiting positive response of returning the excess deduction to my account.;Please get a reliable POS for all payment on delivery transactions.;Televisions;KWK;Desktop Web
the refund time on konga pay which presently is 3-5 days is simply too long and it cost me some inconvenience;on the issue of konga letting some of it's merchants deliver their goods themselves is a bad idea. konga should take full responsibility for the delivery process as long as goods are directly purchased on her website, furthermore, insists on tagging their goods free delivery then the merchant should pay konga for delivery or somehow include it in the overall price of said goods. in moving konga to the next level, I would like to see a konga shopping channel where goods are displayed and put to use on TV and with cute presenters ofcos, maybe test run it on YouTube first to see how it goes before going into live TV.;Laptops;SHQ;Desktop Web
i bought a product that did not last three months (Samsung galaxy ace 3) before developing faults and i could not reach the konga service to return or complain.;Reduced shipping rate, more quality products at good prices.;Men's Shoes;SHQ;Desktop Web
Too much delay in delivery;Try to improve on delivery promises and also ensure the quality of goods for delivery are exactly what was advertised.;Tablets;SHQ;Desktop Web
;;Mobile Phones;SHQ;Mobile Web
the network was very slow. condition of payment was not pay on delivery for most products i tried buying;network should be improved please.;Mobile Phones;SHQ;Konga App
;;Kitchen and Dining;SHQ;Desktop Web
At the point of shipment of the product ;Please when you ship the goods, always forward text message to your customers via sms to state the name, and phone number of the person with the delivery package, for easy tracking. ;Men's Accessories;KWK;Desktop Web
None ;I don't have much, but is just on the delivery price. Please try to adjust. Thanks ;Mobile Phones;SHQ;Desktop Web
;;Watches;SHQ;Konga App
Not in any way;;Women's Shoes;SHQ;Desktop Web
delivery by their agent;quality of products should be watch word and delivery/  shipment charges;Computing Accessories;SHQ;Desktop Web
At the point of delivery,  Twice I discovered the product I ordered were not functioning.  Once  a different product was shipped to me different from the one I ordered for.  Please kindly do the necessary checks before shipping products. Thank You. ;Same as (13) above.  God bless Konga ;Watches;SHQ;Konga App
When I tried to purchase a Piano. I was promised that it was shipped, I waited for more than one week but it never came and no explanation or word of apology from the management of Konga;I suggest daily delivery of your products transactions. A constant lovely interaction with your customers, either through call or lovely and inspirational text messages. And probably incentives in form of vouchers, couples' day out, lovely messages for customers' birthday and anniversary's- all these show sense of appreciation and instill confidence in your customers.;Kitchen and Dining;SHQ;Desktop Web
Delivery;Delivery should be made promptly and where delivery would be delayed, prompt communication should be available to customers. The dispatchers also mark rescheduled delivery as rejected by customers, which is annoying and irritating.  ;Large Appliances;KWK;Desktop Web
;;Men's Shoes;SHQ;Mobile Web
At point of delivery, the person was very impatient and lacks good customer relationship;;Large Appliances;KWK;Konga App
the time lag between order and delivery;kindly deliver all the item ordered at the same time to reduce transport cost. charging transport cost per item is ridiculous especially when several item where ordered.;Small Appliances;KWK & SHQ;Desktop Web
shipping fee;customer orientation;Computing Accessories;SHQ;Desktop Web
No point ;I feel when a person orders for more goods, it should  be charged together not on each good. ;Phone and Tablet Accessories;SHQ;Mobile Web
Checking for the ladies wears;None;Women's Wear;KWK & SHQ;Mobile Web
When I was supplies with a bad power pack.;;Tablets;SHQ;Desktop Web
Replacement;The process of replacing a returned product is too slow;Health;SHQ;Desktop Web
The Handling. Purchased a laptop recently and it had a minor break. Had to use glue. ;Delivery agents should handle items properly. Although the fault could also be from the factory. ;Laptops;KWK;Desktop Web
Delivery;;Phone and Tablet Accessories;SHQ;Desktop Web
;I want u to keep on doing the good job. I really satisfied and happy shopping with konga.;Mobile Phones;KWK;Konga App
When products are advertised on your site but are no available for purchase as advertised. ;Take down products that are not available for sale from your site.;Large Appliances;SHQ;Desktop Web
NAVIGATING YOUR WEBSITE. FILTERING IS THE GREATEST NIGHTMARE. WORK ON IT.;IT IS NOT FARE CHARGING MULTIPLE DELIVERY FEES ON A SINGLE ORDER. FIX THAT;Men's Shoes;KWK;Desktop Web
Installmental payment was not allowed.;Konga company is doing a nice service, but help your customer's with installmental payment.;Laptops;KWK & SHQ;Desktop Web
Delivery ;More information on the return policy.. ;Men's Shoes;SHQ;Konga App
INSERTING MY COUPON CODE. I INSERTED IT BUT THERE WAS NO BUTTON FOR MY TO CLICK AND APPLY IT.;;Watches;SHQ;Desktop Web
;;Large Appliances;SHQ;Mobile Web
Awaiting premium sellers to respond to my order.;;Large Appliances;KWK;Konga App
None;Just want you to improve more and let your customers have confidence in kings;Electronic Accessories;SHQ;Konga App
;;Phone and Tablet Accessories;SHQ;Konga App
;;Printers, Scanners and Accessories;SHQ;Desktop Web
Delivery;Kindly reduce the delivery fee;Men's Shoes;SHQ;Desktop Web
Searching for products was difficult as most items were categorized wrongly ;;Large Appliances;SHQ;Desktop Web
At no point;the service is really good but I do not like d way they package my watch. it was just thrown in d blue package nylon without any case or nylon protector. even my clothes were neatly packed in a nylon before been put in the package bag not to now talk of something as delicate as a watch.;Women's Wear;KWK & SHQ;Konga App
nil;;Televisions;KWK;Mobile Web
At the point of delivery. Most of the dispatchers are not familiar with the destinations;Reduce the delivery dates and rates. Too high.;Men's Wear;KWK & SHQ;Konga App
When I got a different colour for a product I ordered for. I think I should be notified is there is any changes.;;Kids Clothing and Accessories;SHQ;Desktop Web
Applying gift vouchers;I think you need to develope a way to combine multiple purchases on the same day as one delivery and lump delivery cost rather than charge for delivery separately. Also some of you customer service attendant are not helpful.;Men's Shoes;SHQ;Desktop Web
If you are buying item from different seller you have to pay delivery fee for each seller seperately.;Improvement of QA/QC expecially on product for merchant.;Mobile Phones;KWK;Desktop Web
delivery speed;;Games and Consoles;SHQ;Mobile Web
;;Men's Wear;KWK;Desktop Web
None! Except no door-to-door delivery!;Why have they increased the delivery fee without speeding the delivery time?;Mobile Phones;KWK;Desktop Web
;;Printers, Scanners and Accessories;SHQ;Desktop Web
an order done since 11/04/16 is yet to be recieved, this is too lawzy to my likening;;Mobile Phones;SHQ;Desktop Web
;I think customers should be allowed to choose date and time the package is to be delivered. Then there is need to broaden the proudutcs ;Women's Shoes;SHQ;Mobile Web
Search about producers contact office for repairs;Feels d whole experience is OK. Except for getting more information about the customer service point of the manufacturer;Mobile Phones;KWK;Konga App
;;Housekeeping & Pet Supplies;SHQ;Desktop Web
;Delivery is takes too long.. Some times not delivered at all;Large Appliances;KWK;Konga App
Interacting with the Sellers. Quality of  delivery.;The first item I  ordered was great, the second item  however was an embarrassment seeing it was ordered for my Aunt  form the UK. She connected the 'Shake n Take' smoothie machine for the first time and it wouldn't run. I plugged my phone at thsame spot and it charged properly. I was so embarrassed. ;Fashion Bundles;SHQ;Konga App
I have never experienced any difficulty during transaction;konga is the best among Nigerias Online mall;Makeup;SHQ;Mobile Web
The issue of ordering products from different agents, where the transportation fees is charge by different agents where it normally results high;;Phone and Tablet Accessories;SHQ;Desktop Web
Delivery ;Calls to customer service should be toll free. Nothing short of that. ;Mobile Phones;SHQ;Desktop Web
None;Very good online shopping, just try and make available more products with free shipping ;Tablets;KWK;Konga App
None;Satisfactory and thumb up ??;Mobile Phones;KWK;Mobile Web
;;Phone and Tablet Accessories;SHQ;Mobile Web
I made order like twice now ND yet to be delivered ;Pls places like minna needs solid concentration ;Generators & Power Supplies;SHQ;Desktop Web
None;I will like konga to reduce their delivery fee and also make room for return if not satisfied with a delivered product after testing such item;Small Appliances;KWK;Desktop Web
Your shipping cost is rubbish. How can one pay 1k for shipping for any item bought. That's rubbish. Y not get all items n ship at once;Your shipping fee is rubbish pls;Personal Care;SHQ;Mobile Web
Browsing the website as I find unrelated items even when I typed a specific name and model.. Search engine should be refined ;Give free monthly 1000-5000 off price tickets/tokens to frequent customers who spend upto a certain amount per month using Konga site;Laptops;SHQ;Desktop Web
Products return; i suggest u let customers see what they're buying before making payment,not to pay for an item only for you to open it and realize it's of an inferior quality and then you go through the rigors of trying to get back your money or voucher;Men's Wear;SHQ;Konga App
Your affiliates like 1naira something cant remember is a disgrace.;;Large Appliances;SHQ;Konga App
Most of the products/Items prices are almost the same and equal to our market price excluding konga shipping fee;Most of the products/Items prices are almost the same and equal to our market price excluding konga shipping fee;Generators & Power Supplies;SHQ;Konga App
Dissatisfied with KOS Express they are down poor in compare to your former DHL services. Why? I ordered for 5mini Gionee since on 4th and it arrived GOMBE my destination. But until now I have not gotten my package from them yet. I called them to forward my order and dropped the phone an still waiting. ;Do drastic changes about your Carrier services. They are  too local and slowgish ;Home Theatres and Audio Systems;SHQ;Mobile Web
Only used once so no real comment on this ;Had a good first experience but constant usage will determine what one says to above question  ;Automotive Parts & Accessories;SHQ;Mobile Web
;;Home Furnishings;SHQ;Desktop Web
after making an order i got notification that my order has been received and created, only for to wait for over a week without hearing from konga. I even sent a mail but never got any response. I had to re-order and then i discovered the delivery fee has been increased from 1000 to 1500. was that why my first order was not shipped, why was there no communication?;;Women's Wear;SHQ;Desktop Web
Sometime in December 2015, konga found it difficult to deliver a perfume I ordered for twice. The 1st one was never delivered, for the 2nd one, konga package a very different perfume I never ordered for and sent to me. Of course I didn't receive it from the delivery guy.;;Makeup;SHQ;Konga App
Non;Work more on the personels who make the deliveries. Tutor them well, on customers relationship, and should always dress nicely and smart, to be good looking. One who came to deliver a package to me some times last year to my office, was looking like a rogue, and he sent out by my officers, even when he finally came in to see me, was demanding for the money as if has come to deliver an exhibit.. I felt so bad that i almost refused to collect my order. It's very bad.;Toys & Activities;SHQ;Mobile Web
1.Got a product delivered which was not what I choose( a bigger size) and was handled with levity even after calling several times. I still have it because it's still not my kids size.   2. Bought several products and had to pay shipping for each product.  3. Was recently debited for a product that was not selling to my area and debit has still not been reversed as I write  4. Find it extremely difficult to use the downloaded application so I'd rather go online and shop if I want;Improve on shipping especially if buying more than one product.  Facilitate reversals for undue withdrawals;School Store;SHQ;Mobile Web
;;Tablets;SHQ;Desktop Web
When calling thewo customer care service to report a defective item purchased;Work on your customer care service.one can't be charged airtime for a call that wasn't fruitful. Kindly use a mobile network.;Small Appliances;KWK & SHQ;Mobile Web
;;Furniture;SHQ;Konga App
transportation;improve delivery speed;Men's Accessories;SHQ;Desktop Web
I didn't encounter any difficulty.;;Watches;KWK & SHQ;Desktop Web
Last week when I ordered a saisho bundle but got different brands instead of saisho blender, hot plate, electric kettle and fruit juice maker;Longer has to work with their sellers to have a uniform price or something closer than what you have. Some items have 1000 naira difference or more on konga;Home & Kitchen Bundles;KWK;Mobile Web
Responding to orders and shipment from merchants. Very disappointing;You need to monitor your merchants for orders made. Orders are made with Konga and many are not aware that merchants are just your partner.  Some of these merchants don't ship within the stipulated period  which usually results in order cancellations and brings lack of credibility to your system. ;Automotive Parts & Accessories;SHQ;Desktop Web
;;Large Appliances;KWK & SHQ;Mobile Web
;;Printers, Scanners and Accessories;SHQ;Mobile Web
No;;Large Appliances;SHQ;Konga App
When the price was not up to date and the order had to be cancelled ;Kindly ensure prices advertised are current and up to date to forestall fustration and unnecessary delays;Tools;KWK & SHQ;Desktop Web
Shipping;The software should be upgraded to manage quantity which is available for any product and prices quoted on the site should never be changed once order is already placed.;Generators & Power Supplies;SHQ;Desktop Web
During registration ;In the case of buying cloths how can a fat person see his or her size;Kitchen and Dining;SHQ;Desktop Web
;;Phone and Tablet Accessories;SHQ;Mobile Web
coupons/ prices options;More emphasis on quality and minimal pricing to build strong customer base.;Fitness;SHQ;Desktop Web
during black night promo, most of my order are cancelled;;Phone and Tablet Accessories;SHQ;Desktop Web
Delivery;;Mobile Phones;KWK;Desktop Web
None;Nice customer service please keep it up;Small Appliances;KWK;Mobile Web
I did not experience any difficulty;l rate Konga the best online shopping site. I hope they keep it up?;Small Appliances;SHQ;Desktop Web
;;Phone and Tablet Accessories;SHQ;Desktop Web
My greatest area of concern is on the photos of items displayed on the web page. Although it hapoened only once, the item I selected was not what was delivered.;Make sure what tou advertise is what you actually have in stock.;Phone and Tablet Accessories;SHQ;Konga App
Return of rejected item.;It is very annoying to ask to take rejected item to Konga office somewhere within 48 hours.  The same delivery person should come and collect it for return!  I will henceforth do less with Konga, and do more with other online service that have better return procedure, like Jumia.;Automotive Parts & Accessories;SHQ;Desktop Web
;;Sports;SHQ;Konga App
Payment and delivery. ;I love you apply and services, the only thing I will like to suggest is try and reduce your delivery days if possible. ;Laptops;KWK & SHQ;Konga App
PROCESSING POINT;THE MARKETERS SHOULD ALWAYS FOLLOW UP WHEN ORDERS ARE PLACED AND ENSURE PRODUCT ARE SHIPPED OUT ON TIME;Women's Shoes;SHQ;Desktop Web
Still ongoing until my request is granted and product delivered. ;;Home Theatres and Audio Systems;SHQ;Konga App
Delivery. I placed an order for a rechargeable fan since 19th march, and I still havnt received the package ;;Automotive Parts & Accessories;SHQ;Konga App
delivery;your doing a good job.God bless u ;Watches;SHQ;Desktop Web
Delivery;;Watches;SHQ;Desktop Web
Ordering;Plz improve in delivery . ;Mobile Phones;SHQ;Mobile Web
;;Kids Clothing and Accessories;SHQ;Konga App
;;Large Appliances;SHQ;Konga App
Duplicated delivery;The price is higher than that of competition.;Safety and Security;SHQ;Mobile Web
None;Kindly work on the delivery charges, please.;Home & Kitchen Bundles;KWK & SHQ;Desktop Web
None yet;Very effective in all my dealings with konga. Will recommend to everybody ;Phone and Tablet Accessories;SHQ;Konga App
;;Women's Shoes;SHQ;Konga App
When i have a coupon and can use it. ;Improve on your customer service ;Large Appliances;SHQ;Mobile Web
;;Musical Equipment;SHQ;Desktop Web
using the purchased item;The item I purchased is fake. It got broken the first day it was delivered when i was trying to use to press garlic. I am really dissatisfied.;Kitchen and Dining;SHQ;Desktop Web
Not at all;Konga pls put more effort in all wat u are doing because am satisfied ;Watches;SHQ;Konga App
none;satisfied;Small Appliances;SHQ;Desktop Web
;;Large Appliances;SHQ;Desktop Web
Nil;Keep up the good work;Mobile Phones;SHQ;Desktop Web
;;Mobile Phones;SHQ;Konga App
My wife bought some clothes which did not appear exactly as shown on your website. They were return but getting the money back was a challenge;Try as much to enable zoom in your web product;Televisions;KWK;Desktop Web
A SELLER, CHIBYKE PACKAGED A BLACK MICROSOFT LUMIA 640XL DUAL SIM WITH ALREADY BROKEN FAKE SCREEN PROTECTOR INSTEAD OF THE WHITE COLOUR HE DUBIOUSLY POSTED ON YOUR WEBSITE. I PLACED ORDER ON THAT PHONE BECAUSE OF THE COLOUR.THIS PARTICULAR PHONE COME IN FOUR COLOURS,RED, GREEN, BLACK AND WHITE FROM THE MANUFACTURERS.WHY DIDN'T HE SHOWED THE ACTUAL COLOUR AVAILABLE? WHY SENT AN ALREADY BROKEN FAKE SCREEN PROTECTOR? ANOTHER SELLER. LENTIS HUB PACKAGED A MICROSOFT LUMIA 535 BATTERY INSTEAD OF MICROSOFT LUMIA 640 XL DUAL SIM AND SENT TO ME.WHEN I CALL THESE TWO SELLERS, THEY COULDN'T SAY ANYTHING REASONABLE. NOW WHAT SHOULD I DO? GO ON TO BLACKMAIL"KONGA"? NO IT'S YOUR FAULTS. YOU DIDN'T SEE WHAT THE DUBIOUS SELLERS PACKAGED IN YOUR NAME.....;PLEASE CROSS CHECK WHAT YOU'RE SENDING WITH THE ONE ON YOUR WEBSITE TO BE SURE THAT YOUR NAME IS NOT DRAG TO THE MUD.I LOVE ? KONGA... KONGA FOR LIFE!!!;Phone and Tablet Accessories;SHQ;Desktop Web
;;Generators & Power Supplies;KWK & SHQ;Konga App
;;Mobile Phones;KWK;Desktop Web
no body contacts you when you raise issues or defects on products;Try and have a good after sales service. This will help in projecting you to the future;Mobile Phones;KWK & SHQ;Desktop Web
;;Safety and Security;SHQ;Desktop Web
;;Computing Accessories;SHQ;Mobile Web
;;Mobile Phones;KWK;Mobile Web
;;Women's Shoes;SHQ;Mobile Web
the period it takes for the product to the me;If a customer made an order for a product but have not received them and later their was a slash on the price of that product, if customer becomes aware and  insist to pay  the current price of the product. Konga should consider that than refusing and taking back the product and bearing delivery cost on themselves.;Large Appliances;KWK;Mobile Web
All satisfactorily ;It will be a lot better if delivery is less than 7 seven days ;Automotive Parts & Accessories;SHQ;Desktop Web
My last order was since last Saturday uptil now has nt been delivered am sad,dis is da late delivery av had so far.;Pls reduce ur shipping fee,and also be uploading latest female shoes especially flat slippers,hand bags,also old ones dat hav not been sold shud be given out on promo 4rm tym 2 tym on reduced price.;Health;SHQ;Mobile Web
Non;"If someone orders Upto 5 items;  delivery should be charged once not 5times";Laptops;SHQ;Mobile Web
I don't think I have had any difficult in any of my transactions with Konga;Any product you do not and there is order for it, do well to inform the customer about the absence of the product and on time.;Mobile Phones;KWK;Desktop Web
None;Say the real description of items;Tablets;SHQ;Desktop Web
The whole process after placing the order;Konga should not direct it's customers to the sellers. I placed an order and I got a message from konga that K Express will deliver my goods after which I got a call from an operative claimin to be from K Express to ask for d landmark of my shipping address n told me to express the goods the next day. Through the next day I ddnt get any call or any goods from K Express or Konga. The next day I called Konga customer service to complain and the operative gave me the sellers numba so I called the numba given to me and d seller was sayin gibberish that I should call someone else..its very very annoying because I shop from other online markets and i'm always satisfied. Up to dis moment I've nt gotten any goods or response from Konga or whatever courier service is bringin my goods..Pls something should be done about this.;Alcoholic Beverages & Cigarettes;SHQ;Mobile Web
;delivery time specification;Food;SHQ;Desktop Web
No difficulty;Make your prices low.;Kids Clothing and Accessories;SHQ;Desktop Web
None that i can recall;Keep improving on your service delivery.;Large Appliances;KWK;Mobile Web
None;On the Cost of Product, a little adjustment could be made..bcos once people know your goods are not too expensive they Patronize you more..which increases the Turnover.;Men's Shoes;KWK;Desktop Web
del every point from kos.   ;inter state delevery was excellent but you need to improve service from kos.  ;Kitchen and Dining;SHQ;Desktop Web
Communication, and I also feel you guys need to communicate with the people selling on your site more.. ;As ealier said above.. ;Electronic Accessories;SHQ;Mobile Web
;;Mobile Phones;KWK;Desktop Web
;;Phone and Tablet Accessories;SHQ;Mobile Web
Non.;Prices of goods appeared to be too expensive.;Tablets;SHQ;Desktop Web
;The search on the website is not very effective. You need to effectively search items by price, make, location, condition, ora proximity, etc;Personal Care;SHQ;Mobile Web
None;Please review the delivery charge lower a bit.;Personal Care;SHQ;Konga App
At delivery;Verify the products of your sellers for quality before shipping.;Phone and Tablet Accessories;SHQ;Mobile Web
;;Tools;SHQ;Mobile Web
;;Mobile Phones;SHQ;Konga App
When the dispatcher lied that he couldn't reach me but it was false. He wanted me to pay extra for delivery.;;0;KWK;Desktop Web
Noneb;;Mobile Phones;SHQ;Mobile Web
;;Men's Accessories;SHQ;Mobile Web
delivery  ;konga needs to work on delivery speed;Networking;SHQ;Desktop Web
Delivery point. One have to call every time. Failed delivery is too common;Your delivery units are poor. They lie about customer reject order even when I didn't set my eyes on it;Large Appliances;KWK & SHQ;Desktop Web
Shopping via the app;;Mobile Phones;KWK;Konga App
Nil;Nil;Women's Wear;SHQ;Mobile Web
I find it very hard to see products all product on a particular platform rather it keep repeating same items.;;Men's Wear;SHQ;Konga App
Some of the part showing but after order it is not available ;I like konga is good  request fast service delivery;Computing Accessories;SHQ;Desktop Web
Delivery;Have a branch in Port Harcourt;?Baby Essentials;SHQ;Desktop Web
While ckecking out;If you could reduce your shipping fee and slightly review your prices downward, a lot of people will be happy to patronise Konga.;Desktop and Monitors;SHQ;Desktop Web
Yes;Later;Alcoholic Beverages & Cigarettes;SHQ;Konga App
;make your product advertise boldly and better online thank.;Large Appliances;SHQ;Konga App
none;Nothing to add just to say you guys are doing a great job.;Women's Shoes;SHQ;Mobile Web
;;Women's Wear;SHQ;Mobile Web
;;Large Appliances;KWK;Desktop Web
Nil;;Large Appliances;KWK;Desktop Web
Comments reserved. ;The charge on one order should be reviewed even if it is from different sellers. ;Men's Shoes;KWK & SHQ;Konga App
;;Networking;SHQ;Desktop Web
Complaints: I ordered for GT08 SMART Watches which was delivered to me on Tuesday 26/4/2016, the said smart watche soft torche is not functioning.which I lodge a complaint with customer care the told me that the Will get back to me within 48hour up to now I did not hear from them. From yakubu saleh kaduna .08020506491;I urge konga to respond to my complaint.;Phone and Tablet Accessories;SHQ;Desktop Web
returning and exchanging goods and calling your customer care line to lodge complaints.;make your prices very competitive, get more customer friendly agents, improve on the quality of some of your products.;Personal Care;SHQ;Desktop Web
Delivery fee, no coupon for first timer.;I suggest that customers should be allowed to go to ur pickup centres to get their order free of shipping fee. Fee could be attached if package is to be brought to d house;Small Appliances;SHQ;Desktop Web
No time at all;Products being delivered by seller directly should be well packaged, the last one i got was so exposed, every one knew what I purchased.;Kitchen and Dining;SHQ;Desktop Web
;delivery agents should be more patient with the customers;Tablets;SHQ;Desktop Web
;;Mobile Phones;SHQ;Mobile Web
transfer fee;Konga should try to reduce thier transfer fee it is extravagantly high for even small products;Phone and Tablet Accessories;SHQ;Desktop Web
I wanted a phone wristwatch I sew online only to told it's outdated and a more costly one was recommended, he claim the first was China/dual/analogue yet he delivered a not too new single sim phone for higher price, upon this rip-off I refused to pick up the Innjoo Xtouch I booked for ;I suggest you remove poor quality items from your stocks;Phone and Tablet Accessories;KWK & SHQ;Mobile Web
;;Large Appliances;KWK;Desktop Web
The advert don't go straight to that product;A product I bought 16,500 is now 14,500;Mobile Phones;KWK;Mobile Web
;;Personal Care;SHQ;Mobile Web
None;Keep it up;Mobile Phones;KWK;Mobile Web
;;Tools;SHQ;Mobile Web
Delivery ;Up on til now the Injoo Android TV has not been delivered to me despite it arrived the Port Harcourt deport 5 days earlier. The lack of a contingency plan after courier delivery personnel claimed to have been involved in accident is unacceptable. Following this experience I have decided to cancel my order and not very certain if I will use Konga again. The attitude of the delivery guy towards this is not encouraging at all, And contact number provided for ph depot is mostly switched off. Thank you ;Televisions;KWK & SHQ;Desktop Web
a year ago;you don't give comprehensive detail of goods while on transit;Watches;SHQ;Desktop Web
Wrong products were brought and the seller was convincing me to accept what I did not order.;I think people just put up pictures of products they dnt have,at the end they bring the wrong product and try to force you to accept like the single chair and tv stand I ordered.all wrong products brought to me.;Furniture;SHQ;Mobile Web
When there was a failed transaction and I need a refund after prepayment.;It'll be nice if a request for a payout  or a refund will be as fast as funding one's wallet in Kong pay.;Computing Accessories;SHQ;Desktop Web
;;Small Appliances;SHQ;Desktop Web
Having to pick up at the outlet with a rude approach from the Konga Rep ;;Personal Care;SHQ;Mobile Web
i made an order and was informed that delivery was within 3-5days. the duration elapsed and i did not get my order, i had to cancel it because the need for the item was not necessary anymore.;Try to keep to your promises. If an item would not be delivered at the stipulated period of time,it should be stated and not to give clients false hope.;Women's Accessories;SHQ;Desktop Web
No problem  ;Pls specify each product with a perticular price. There are many similar products having different prices.;Mobile Phones;SHQ;Desktop Web
when there is need to return. its difficult to make return;I enjoy your services, kindly keep it up and work on how to ease the return policy ;Large Appliances;KWK & SHQ;Desktop Web
Shipping ;;Mobile Phones;SHQ;Mobile Web
Sending code to the number that I'm using to place the order.;;Large Appliances;SHQ;Mobile Web
When the delivery man asked me to pay for the item I requested to be paid from the credit in my wallet. . Kinda embarrassing though. ;"Communication between y'all; from the admin down to the delivery person. Thanks ";Women's Shoes;SHQ;Desktop Web
;;Automotive Parts & Accessories;SHQ;Desktop Web
to get the number  of the delivery person so as to communicate  with him for some reasons;when orders are made the person to deliver the good,his phone number should  be provided because a customer  may want to tell him a particular  time he will be available  to get the delivery or to communicate  for other reasons ;Mobile Phones;KWK;Mobile Web
;;Men's Wear;KWK;Desktop Web
When it concerns replacement of faulty item.;Iam very much aware that an item could have factory defect that Konga or the buyer might not be aware of but I expect that when such complaints are brought to the notice of Konga, it should receive the urgency it deserves so that the whole aim of purchasing that item or product is not defeated. There should be a fast delivery system in returning such items just as you have in delivering purchased goods instead of asking for a photograph of the item which to me is not the same as physical examination of the product to determine the fault or defect and it is time consuming.;Mobile Phones;KWK;Desktop Web
;;Stationery;SHQ;Desktop Web
Waiting to receive my goods when i had to travel ;Device a means of delivering goods in a day or two. I.e delivery needs to be quick.;Mobile Phones;SHQ;Desktop Web
;;Large Appliances;SHQ;Mobile Web
Placing the order;Some items will show available but when you click to buy you will get system error. SKU not identied or your order quantity is not available when it's just one that I'm trying to buy. Other times the page won't load.;Watches;SHQ;Mobile Web
At the point of delivery. Calls to deliver items after 6pm in the evening! And after rescheduling, the delivery never came!;The idea that merchants should handle delivery is not a good one at all.;Phone and Tablet Accessories;SHQ;Desktop Web
delivery ;want to know how long it suppose to take to deliver an order;Toys & Activities;SHQ;Konga App
Never had difficulties of any kind.;;Fitness;SHQ;Desktop Web
KOS Point not conflicting us early enough;;Books;SHQ;Desktop Web
;;Electronic Accessories;SHQ;Mobile Web
None that I can remember.;Try and reduce the shipping cost;Small Appliances;SHQ;Konga App
;;Personal Care;SHQ;Desktop Web
Not at all;The problem I have is about the delivery man,who doesn't know how to talk...telling me that if he didn't see me in 5min that he will go....pls always lecture them that we buyers have nothing to loose because It's pay on delivery more so there are other site out there.....;Large Appliances;KWK;Desktop Web
I did not received my products;Still expecting my products ;Home Furnishings;SHQ;Desktop Web
;;Women's Accessories;SHQ;Desktop Web
Point of return of items that need not met specification ;There is no follow up on matters and this always left customers with the decision to quit buy on konga.  Customer Service should at all time endeavor for be on the neak  of matters untill it is flog out.;Phone and Tablet Accessories;SHQ;Mobile Web
None;Better product description as delivered item didn't match one ordered online;Tablets;SHQ;Desktop Web
TIME TAKING TO DELIVER AND A CASE WHEREBY BUY GOODS AND PAY AND THE SELLER PICK THE CALL ONCE LATER IGNORE IT BECAUSE HE DID NOT SHIP ON TIME AND THE GOODS IS CANCEL.;I think konga improving.;Small Appliances;SHQ;Mobile Web
Delivery within Lagos takes about 6days which is too slow within Lagos should take 3days max.;I suggest you have pickup centers, where customers can pickup at a cheaper rate. For example 250-350.Because the high delivery rate discourage people to make different others at a go.;Men's Wear;KWK & SHQ;Desktop Web
Presently none...;I've known you to be dealing with quality but just keep and intensify more on the quality of the items you're dealing with...;Watches;SHQ;Konga App
;;Books;SHQ;Mobile Web
Last week my friend used my phone to order a product and I tried to cancel the order but couldn't do that.  ;I was given #2,000 voucher which I couldn't use unless I spend up to #5,000 for shopping. Well the voucher is useless to me since it was valid for a week and I wasn't ready to shop that week. It ain't cool when one is forced to shop with a voucher that is not free.  ;Mobile Phones;SHQ;Desktop Web
;;Toys & Activities;SHQ;Desktop Web
;;Housekeeping & Pet Supplies;SHQ;Desktop Web
During delivery and no confirmation of order call or sms is sent to the customer;Immediately an order is place, your customer support should place a call to the customer to assure him/ her of the order & delivery of the items. On the set date of delivery, calls/sms should placed to the customer early so he can make himself available to receive the goods;Sports;SHQ;Desktop Web
Returning item with fault;I was not happy about the delivery and content of my last purchase but speaking with the customer care (her name is Debby) was really comforting and helpful;Small Appliances;KWK & SHQ;Desktop Web
None;The shipping cost is too much. I ordered for two products, they charged me separate shipping cost. When am the one ordering for two. Was disappointed.;Watches;SHQ;Mobile Web
;;Watches;KWK;Desktop Web
the transportation it more high due to buying in different store.and some items got increase when it comes to kongapay;you should be specific on price;Kitchen and Dining;SHQ;Desktop Web
Products return;Had a bad experience while trying to return a product;Men's Shoes;SHQ;Konga App
No;Price;Small Appliances;KWK & SHQ;Mobile Web
;Delivery charges is too much ;Laptops;KWK;Desktop Web
After paying for the item ;My order was cancelled since 16th of April, and yet somehow I still have not gotten my refund. The excuses are getting meaningless every other day, where is my money?;Mobile Phones;KWK;Desktop Web
delivery of an order i cancelled ;the ease of delivery should be reexamined, and the shipping fee should be reduced, delivery to other towns apart from major towns should be explored ;Phone and Tablet Accessories;KWK & SHQ;Mobile Web
